Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Ster 1;Ster 2
2014-12-30;6;18;39;44;50;8;11
2014-12-26;17;26;27;45;49;2;3
2014-12-23;8;9;19;25;49;2;10
2014-12-19;23;29;31;39;44;5;8
2014-12-16;3;7;12;13;25;5;8
2014-12-12;2;15;28;31;37;4;6
2014-12-09;1;3;31;42;46;4;11
2014-12-05;5;8;37;47;48;2;3
2014-12-02;3;15;25;44;49;1;9
2014-11-28;6;10;15;23;41;4;10
2014-11-25;3;7;25;32;36;1;6
2014-11-21;4;7;28;32;37;5;10
2014-11-18;2;3;17;36;38;4;11
2014-11-14;17;32;36;38;48;5;8
2014-11-11;2;14;21;36;46;7;11
2014-11-07;13;25;32;38;46;1;10
2014-11-04;1;6;13;17;26;3;5
2014-10-31;10;13;20;33;41;3;9
2014-10-28;10;15;17;40;45;1;2
2014-10-24;3;9;20;30;42;1;6
2014-10-21;20;21;27;33;40;3;10
2014-10-17;1;13;40;48;49;8;10
2014-10-14;4;5;15;23;32;3;7
2014-10-10;6;29;42;45;47;9;10
2014-10-07;9;21;28;30;38;1;8
2014-10-03;4;13;23;48;50;5;10
2014-09-30;3;13;15;33;42;5;7
2014-09-26;13;27;35;46;47;1;2
2014-09-23;12;13;14;29;35;1;7
2014-09-19;6;8;34;38;48;3;9
2014-09-16;4;29;30;35;50;2;4
2014-09-12;9;13;26;31;33;7;11
2014-09-09;8;15;19;24;35;8;10
2014-09-05;1;18;23;46;50;3;9
2014-09-02;5;25;31;39;45;1;8
2014-08-29;2;9;26;32;38;3;6
2014-08-26;10;22;36;45;48;4;11
2014-08-22;4;17;29;35;49;1;2
2014-08-19;4;7;11;34;47;7;8
2014-08-15;4;5;21;23;30;8;10
2014-08-12;7;16;19;22;33;2;5
2014-08-08;21;29;35;43;46;1;9
2014-08-05;5;7;19;21;42;5;11
2014-08-01;24;44;46;48;50;5;10
2014-07-29;10;23;35;40;43;3;9
2014-07-25;9;10;12;24;43;5;9
2014-07-22;1;24;43;45;50;5;8
2014-07-18;1;11;29;41;43;3;11
2014-07-15;15;18;20;27;34;1;3
2014-07-11;5;22;35;38;49;4;7
2014-07-08;8;18;22;24;27;4;11
2014-07-04;4;18;39;43;47;2;6
2014-07-01;18;22;25;27;39;5;10
2014-06-27;31;33;34;39;45;2;10
2014-06-24;1;7;20;21;48;4;7
2014-06-20;5;15;25;38;49;1;2
2014-06-17;11;13;37;40;48;8;9
2014-06-13;16;18;22;28;46;9;11
2014-06-10;12;18;21;32;33;1;11
2014-06-06;7;25;34;40;49;9;11
2014-06-03;2;15;32;39;44;5;10
2014-05-30;5;24;27;41;45;6;7
2014-05-27;7;13;16;25;26;1;6
2014-05-23;3;8;31;34;47;9;11
2014-05-20;5;33;36;38;47;4;9
2014-05-16;23;26;29;37;40;3;4
2014-05-13;4;13;30;34;47;2;6
2014-05-09;3;21;26;28;45;7;10
2014-05-06;5;19;24;31;37;1;9
2014-05-02;4;30;31;38;42;2;11
2014-04-29;18;23;26;35;44;3;11
2014-04-25;13;21;24;44;49;1;9
2014-04-22;13;15;20;24;46;1;8
2014-04-18;21;24;31;39;47;3;7
2014-04-15;3;14;26;47;50;7;11
2014-04-11;8;12;19;30;33;4;11
2014-04-08;11;18;29;42;49;4;11
2014-04-04;6;10;28;45;50;10;11
2014-04-01;16;18;26;38;44;8;10
2014-03-28;3;4;19;28;43;3;7
2014-03-25;7;20;26;28;50;2;8
2014-03-21;7;30;37;39;42;5;7
2014-03-18;8;27;34;36;39;5;10
2014-03-14;6;24;25;27;30;5;9
2014-03-11;1;4;23;33;44;7;8
2014-03-07;5;10;38;40;41;1;8
2014-03-04;3;5;22;27;44;1;6
2014-02-28;12;32;38;43;44;2;7
2014-02-25;21;25;28;35;42;4;6
2014-02-21;13;17;28;30;32;5;7
2014-02-18;23;26;36;37;49;6;7
2014-02-14;2;4;6;19;39;2;7
2014-02-11;8;17;25;41;47;1;2
2014-02-07;3;17;19;46;47;9;10
2014-02-04;1;21;33;37;38;4;8
2014-01-31;8;10;15;16;31;8;9
2014-01-28;18;20;23;42;48;2;9
2014-01-24;5;19;34;35;41;1;5
2014-01-21;4;12;35;42;48;5;8
2014-01-17;19;26;32;33;42;4;10
2014-01-14;18;20;25;26;37;10;11
2014-01-10;1;2;11;27;29;1;10
2014-01-07;2;20;27;33;45;6;10
2014-01-03;3;27;31;38;44;3;8
